,id,title,description,course,ingredients,calories,protein,carbohydrates,fat,saturated_fat,sodium,fiber,cooking_time,rating,review_count,recipe_instruction,source,tags,appliances,ingredient_list,ingredients_str,recipe_yield_personen,recipe_yield_stuk,source_type,year_nr1,year_nr2,year_nr3,year_nr4,minimum_year_nr,year_week1,year_week2,minimum_year_week,tags_str,tag_0,tag_1,tag_2
12,560866,Gnocchi met tomatensaus,"Een lekker italiaans recept. Het vegetarische hoofdgerecht bevat de volgende ingrediënten: kruimige aardappels (geschild en in stukken), olijfolie, ui (gesnipperd), winterpeen (geschild en in zeer kleine blokjes), bleekselderij (in zeer kleine blokjes), trostomaten (in parten), boter, bloem, ei, nootmuskaat en Parmazaanse kaas (stukje).",hoofdgerecht,"{'olijfolie': '1 el()', 'winterpeen': '1 (geschild en in zeer kleine blokjes)', 'bleekselderij': '1 stengel(in zeer kleine blokjes)', 'kruimige aardappels': ' 1 kg(geschild en in stukken)', 'bloem': ' 250 g()', 'trostomaten': ' 8(in parten)', 'ui': '1 (gesnipperd)', 'Parmazaanse kaas': ' (stukje)', 'boter': ' 25 g()', 'ei': '1 ()', 'nootmuskaat': ' ()'}",590.0,23,88,16.0,0.0,,0.0,45.0,3.0,48.0,,Allerhande magazine 2009 nr. 08 - Echt Italiaans,"['vegetarisch', 'italiaans', 'koken']","['staafmixer', 'aardappelstamper']","['Parmazaanse kaas', 'bleekselderij', 'bloem', 'boter', 'ei', 'kruimige aardappels', 'nootmuskaat', 'olijfolie', 'trostomaten', 'ui', 'winterpeen']","Parmazaanse kaas, bleekselderij, bloem, boter, ei, kruimige aardappels, nootmuskaat, olijfolie, trostomaten, ui, winterpeen",4.0,,magazine,2009.08,,,,2009.08,,,,"vegetarisch, italiaans, koken",oven,,
13,1187857,"Zalmcarpaccio met mango, komkommer en avocado","Carpaccio van wilde zalm, mango, komkommer, avocado, rode peper en rucola.",voorgerecht,"{'avocado': '1 ()', 'rijstazijn': '1 el()', 'extra vierge olijfolie': '1 el()', 'mango': '1 ()', 'rucola': '40 g()', 'rode peper': '1 ()', 'komkommer': '1 ()', 'wilde zalmcarpaccio': '200 (AH Feestfavoriet)'}",120.0,6,7,7.0,1.0,0.29,2.0,30.0,3.0,8.0,"Schil de mango en snijd het vruchtvlees langs de pit af. Snijd in reepjes van ca. 3 mm dik en 5 cm lang. Schil de komkommer, halveer in de lengte en verwijder met een theelepel de zaadjes. Snijd in hetzelfde formaat reepjes. Snijd de avocado overlangs doormidden. Verwijder de pit, schep het vruchtvlees met een lepel uit de schil en snijd ook in reepjes. Halveer de peper in de lengte, verwijder met een scherp mes de zaadlijsten en snijd het vruchtvlees in reepjes.",Allerhande magazine 2016 nr. 12 - Kerst,"['kerst', 'glutenvrij', 'lactosevrij']",[],"['avocado', 'extra vierge olijfolie', 'komkommer', 'mango', 'rijstazijn', 'rode peper', 'rucola', 'wilde zalmcarpaccio']","avocado, extra vierge olijfolie, komkommer, mango, rijstazijn, rode peper, rucola, wilde zalmcarpaccio",8.0,,magazine,2016.12,,,,2016.12,,,,"kerst, glutenvrij, lactosevrij",oven,engels,pasen
15,177680,Spinazietaart,"Hartige taart met spinazie, rundergehakt en pittige kaas",hoofdgerecht,"{'bladerdeeg': '5 plakje(diepvries)', 'gemalen pittige kaas': '150 g(zak)', 'spinazie à la crème': '450 g(diepvries)', 'ei': '4 ()', 'rundergehakt': '200 g(schaal)'}",645.0,38,27,43.0,0.0,,0.0,15.0,3.0,627.0,Laat de spinazie en deeg ontdooien volgens de aanwijzingen op de verpakking. Verwarm de oven voor op 200 °C of gasovenstand 4. ,Receptkaart 2003 week 12-13,['oven'],['quichevorm (Ø 26 cm)'],"['bladerdeeg', 'ei', 'gemalen pittige kaas', 'rundergehakt', 'spinazie à la crème']","bladerdeeg, ei, gemalen pittige kaas, rundergehakt, spinazie à la crème",4.0,,receptkaart,,,,,,2003.12,,2003.12,oven,hollands,koken,
16,911256,Gevulde lamslende met muntsaus,"Een lekker engels recept. Het hoofdgerecht bevat de volgende ingrediënten: vlees, Jamies gevulde lamslende*, olijfolie, munt (alleen de blaadjes), suiker en rodewijnazijn.",hoofdgerecht,"{'olijfolie': ' ()', 'suiker': '20 g()', 'rodewijnazijn': '2 el()', 'munt': '2 bakjes(alleen de blaadjes)', 'Jamies gevulde lamslende*': '1 schaal()'}",330.0,21,7,22.0,0.0,,0.0,10.0,3.0,47.0,Haal het lamsvlees minimaal 1 uur van tevoren uit de koelkast. Verwarm de oven voor op 180 ºC. Verwijder de folie van het vlees. Haal de rozemarijntakjes onder de rolladetouwtjes vandaan en leg deze op de bodem van een ovenschaal. Dep het vlees droog met keukenpapier en wrijf het in met olijfolie. Verhit een koekenpan zonder boter of (olijf)olie en bak het vlees aan beide zijden bruin in 5 min. Keer regelmatig.,Allerhande magazine 2013 nr. 03 - Happy van bakken,"['oven', 'engels', 'pasen']",[],"['Jamies gevulde lamslende*', 'munt', 'olijfolie', 'rodewijnazijn', 'suiker']","Jamies gevulde lamslende*, munt, olijfolie, rodewijnazijn, suiker",4.0,,magazine,2013.03,,,,2013.03,,,,"oven, engels, pasen",koken,,
17,660148,Bleekselderij-komkommersalade,Bleekselderij-komkommersalade met witte kaasblokjes en dille.,bijgerecht,"{'olijfolie extra vierge': '4 el()', 'mosterd': '1 tl()', 'wittewijnazijn': '3 el()', 'verse dille': '8 g()', 'witte kaasblokjes': '200 g()', 'bleekselderij': '1 struik()', 'komkommer': '1 ()'}",295.0,12,4,25.0,0.0,,0.0,15.0,3.0,80.0,"Maak in een schaal een vinaigrette van de mosterd, azijn en olie. Snijd de dille fijn, voeg toe en snijd de bleekselderij in stukjes. Snijd de komkommer in halve plakjes. Voeg alles toe aan de vinaigrette en meng goed.",Allerhande magazine 2010 nr. 09 - Groente volop variëren,['zonder vlees/vis'],[],"['bleekselderij', 'komkommer', 'mosterd', 'olijfolie extra vierge', 'verse dille', 'witte kaasblokjes', 'wittewijnazijn']","bleekselderij, komkommer, mosterd, olijfolie extra vierge, verse dille, witte kaasblokjes, wittewijnazijn",4.0,,magazine,2010.09,,,,2010.09,,,,zonder vlees/vis,vegetarisch,aziatisch,indiaas
18,7968,Basisrecept voor gekookte mosselen,"Gekookte mosselen met ui, wortel, bleekselderij, peterselie en droge witte wijn",hoofdgerecht,"{'bleekselderij': '2 stengel()', 'laurierblaadje': '1 ()', 'peterselie': '3 takje()', 'droge witte wijn': '250 ml()', 'ui': '1 ()', 'grote wortel': '1 ()', 'verse mosselen': '2 kg(bak)'}",175.0,20,4,9.0,0.0,,0.0,25.0,3.0,146.0,Was de mosselen grondig in een bak met koud stromend water. Verwijder de kapotte schelpen. Snijd de ui in ringen en de wortel in plakken. Snijd de bleekselderij in grove stukken. ,Allerhande magazine 2000 nr. 09 - Thais voor thuis,"['hollands', 'koken']",[],"['bleekselderij', 'droge witte wijn', 'grote wortel', 'laurierblaadje', 'peterselie', 'ui', 'verse mosselen']","bleekselderij, droge witte wijn, grote wortel, laurierblaadje, peterselie, ui, verse mosselen",2.0,,magazine,2000.09,,,,2000.09,,,,"hollands, koken",oven,hollands,
20,154382,Aardappelsoep met gerookte forel,"Een lekker recept. Het voorgerecht bevat de volgende ingrediënten: vis, aardappels (kruimig), groentenbouillontablet, gerookte forelfilets, knoflookbieslook, Leffe blond (33 cl Belgisch bier), crème fraîche (125 ml), zout en (versgemalen) peper.",voorgerecht,"{'Leffe blond': '1 flesje(33 cl Belgisch bier)', 'gerookte forelfilets': '125 g()', 'groentenbouillontablet': '1 ()', 'zout': ' ()', 'crème fraîche': '1 bekertje(125 ml)', '(versgemalen) peper': ' ()', 'aardappels': '500 g(kruimig)', 'knoflookbieslook': '15 sprietjes()'}",265.0,10,28,13.0,0.0,,0.0,35.0,3.0,47.0,,Kookboek: België,['koken'],['keukenmachine'],"['(versgemalen) peper', 'Leffe blond', 'aardappels', 'crème fraîche', 'gerookte forelfilets', 'groentenbouillontablet', 'knoflookbieslook', 'zout']","(versgemalen) peper, Leffe blond, aardappels, crème fraîche, gerookte forelfilets, groentenbouillontablet, knoflookbieslook, zout",4.0,,kookboek,,,,,,,,,koken,italiaans,koken,
21,983900,Bloemkool met kormasaus,Kormasaus met bloemkool en geschaafde amandelen.,bijgerecht,"{'bloemkool': '800 g()', 'amandelschaafsel': '30 g()', 'kormasaus': '200 ml(potje à 400 ml)'}",205.0,8,11,13.0,5.0,0.196,5.0,10.0,3.0,29.0,Verdeel de bloemkool in roosjes en kook in 5 min. beetgaar.,Allerhande magazine 2013 nr. 10 - Stampen  stoven,"['vegetarisch', 'aziatisch', 'indiaas']",[],"['amandelschaafsel', 'bloemkool', 'kormasaus']","amandelschaafsel, bloemkool, kormasaus",4.0,,magazine,2013.10,,,,2013.1,,,,"vegetarisch, aziatisch, indiaas",grillen,,
23,412580,Kippensoep met kipbroodjes,"Een lekker hollands recept. Het hoofdgerecht bevat de volgende ingrediënten: gevogelte, kaiserbroodjes (a 4 stuks), eieren, kippenbouillon (340 ml), soepgroente (250 g), vermicelli, sambal, tomaten, margarine, eikenbladslamelange (100 g) en flinterdun gesneden kipfilet (100 g).",hoofdgerecht,"{'flinterdun gesneden kipfilet': '1 pakje(100 g)', 'kaiserbroodjes': '2 pakken(a 4 stuks)', 'tomaten': '2 ()', 'vermicelli': '3 handjes()', 'sambal': ' mespunt()', 'kippenbouillon': '1 pot(340 ml)', 'margarine': ' ()', 'eieren': '2 ()', 'eikenbladslamelange': '1 zak(100 g)', 'soepgroente': '1 zakje(250 g)'}",410.0,17,31,24.0,0.0,,0.0,20.0,3.0,100.0,,Receptkaart 2006 week 46-47,"['oven', 'hollands']",[],"['eieren', 'eikenbladslamelange', 'flinterdun gesneden kipfilet', 'kaiserbroodjes', 'kippenbouillon', 'margarine', 'sambal', 'soepgroente', 'tomaten', 'vermicelli']","eieren, eikenbladslamelange, flinterdun gesneden kipfilet, kaiserbroodjes, kippenbouillon, margarine, sambal, soepgroente, tomaten, vermicelli",4.0,,receptkaart,,,,,,2006.46,,2006.46,"oven, hollands",italiaans,,
24,1187395,Koolrabicarpaccio met bloodymarydressing,"Carpaccio van groente en geitenkaas met een saus van tomatensaus, wodka en Worcestershiresaus. ",voorgerecht,"{'olijfolie': '3 el()', 'mierikswortel': '3 el()', 'worcestershiresauce': '1 tl()', 'koolrabi': '250 g()', 'azijn': '2 el()', 'geitenkaas naturel 55+': '125 g()', 'wodka': '1 el()', 'tabasco': '6 druppel()', 'bleekselderij': '1 stengel(inclusief blad)', 'tomatensap': '100 ml()'}",230.0,8,5,19.0,7.0,0.25,2.0,15.0,3.0,2.0,"Schil en snijd de koolrabi in flinterdunne plakken met een dunschiller, keukenmachine of mandoline. Meng de koolrabi met de olie, azijn en mierikswortel en breng op smaak met peper en eventueel zout. Laat minimaal 1 uur marineren.",,['vooraf te maken'],"['dunschiller, keukenmachine of mandoline', '4 shotglaasjes']","['azijn', 'bleekselderij', 'geitenkaas naturel 55+', 'koolrabi', 'mierikswortel', 'olijfolie', 'tabasco', 'tomatensap', 'wodka', 'worcestershiresauce']","azijn, bleekselderij, geitenkaas naturel 55+, koolrabi, mierikswortel, olijfolie, tabasco, tomatensap, wodka, worcestershiresauce",4.0,,nan,,,,,,,,,vooraf te maken,glutenvrij,lactosevrij,vegetarisch
25,398402,Gnocchi met gerookte zalm en sperziebonen,"Lekker zomers recept voor pasta met sperziebonen, ui, gerookte zalm en verse bieslook.",hoofdgerecht,"{'olijfolie': '2 el()', 'crème fraîche': '200 ml()', 'gerookte zalm': '200 g()', 'sperziebonen': '450 g(diepvries)', 'knoflook': '2 teen()', 'gnocchi di patate': '750 g(pak a 500 g)', 'verse bieslook': '25 g(zakje)', 'ui': '2 ()'}",685.0,22,74,31.0,14.0,1.88,8.0,20.0,3.0,185.0,,Receptkaart 2006 week 28-29,"['italiaans', 'koken']",[],"['crème fraîche', 'gerookte zalm', 'gnocchi di patate', 'knoflook', 'olijfolie', 'sperziebonen', 'ui', 'verse bieslook']","crème fraîche, gerookte zalm, gnocchi di patate, knoflook, olijfolie, sperziebonen, ui, verse bieslook",4.0,,receptkaart,,,,,,2006.28,,2006.28,"italiaans, koken",snel,koken,
27,668936,Lamsrack met komijn,"Een lekker recept. Het hoofdgerecht bevat de volgende ingrediënten: vlees, knoflook (geperst), olijfolie, gemalen komijn (djinten), zwarte peper (versgemalen) en lamsracks (van elk 6 ribbetjes).",hoofdgerecht,"{'olijfolie': '2 el()', 'zwarte peper': '1 tl(versgemalen)', 'gemalen komijn (djinten)': '0.5 el()', 'knoflook': '2 tenen(geperst)', 'lamsracks': '2 (van elk 6 ribbetjes)'}",365.0,24,0,30.0,0.0,,0.0,25.0,4.0,19.0,"Meng in een kommetje de knoflook met de olie, komijn en peper en wrijf de lamsracks in met dit mengsel. Laat de lamsracks 30 min. bij kamertemperatuur marineren.",Kookboek: 12 maanden Lekker Eten,['grillen'],[],"['gemalen komijn (djinten)', 'knoflook', 'lamsracks', 'olijfolie', 'zwarte peper']","gemalen komijn (djinten), knoflook, lamsracks, olijfolie, zwarte peper",4.0,,kookboek,,,,,,,,,grillen,snel,vegetarisch,italiaans
28,1038420,Pittige gnocchi-linzenschotel met worst,"Pittige schotel met gnocchi, linzen en Toscaanse worstjes.",hoofdgerecht,"{'olijfolie': '2 el()', 'tomatenblokjes': '400 g()', 'salie': '2 takje()', 'linzen': '400 g()', 'ui': '1 ()', 'tabasco': '2 tl()', 'Toscaanse worstjes': '270 g()', 'gnocchi': '500 g()'}",515.0,23,61,18.0,7.0,0.9,6.0,15.0,4.0,239.0,Verhit de olie in een braadpan. Bak de worstjes in 3 min. rondom bruin aan. Snipper de ui en snijd alleen de blaadjes van de salie fijn. Schuif de worstjes aan de kant en fruit in de pan de salie met de ui 1 min. Voeg de tomatenblokjes en tabasco toe.,Allerhande magazine 2014 nr. 02 - Winter in Italië,"['snel', 'budget', 'stoven']",[],"['Toscaanse worstjes', 'gnocchi', 'linzen', 'olijfolie', 'salie', 'tabasco', 'tomatenblokjes', 'ui']","Toscaanse worstjes, gnocchi, linzen, olijfolie, salie, tabasco, tomatenblokjes, ui",4.0,,magazine,2014.02,,,,2014.02,,,,"snel, budget, stoven",hollands,borrel,oud  nieuw
29,286308,Carpaccio met balsamicodressing,Authentieke carpaccio met balsamico en rucola. ,voorgerecht,"{'pijnboompitten': '4 el()', 'carpaccio': '200 g()', 'zongedroogde tomaten in olie': '6 ()', 'balsamicodressing': '6 el(fles à 250 ml)', 'rucola': '30 g(zakje)', 'stokbrood': '0.5 ()'}",340.0,18,22,19.0,3.0,0.765,3.0,15.0,3.0,161.0,,Receptkaart 2004 week 38-39,['italiaans'],[],"['balsamicodressing', 'carpaccio', 'pijnboompitten', 'rucola', 'stokbrood', 'zongedroogde tomaten in olie']","balsamicodressing, carpaccio, pijnboompitten, rucola, stokbrood, zongedroogde tomaten in olie",4.0,,receptkaart,,,,,,2004.38,,2004.38,italiaans,vegetarisch,,
30,558456,Olijvendip,"Dip van groene olijven, kappertjes, mayonaise, peterselie, chilipeper en knoflook",bijgerecht,"{'knoflook': '0.5 teen()', 'kappertjes': '2 el()', 'peterselie': '4 el()', 'chilipeper': '1 tl(uit de molen)', 'mayonaise': '4 el()', 'groene olijven zonder pit': '240 g()'}",180.0,1,2,18.0,2.0,0.715,2.0,10.0,3.0,33.0,,Allerhande magazine 2014 nr. 07 - Buiten eten,"['glutenvrij', 'lactosevrij', 'vegetarisch']",['keukenmachine'],"['chilipeper', 'groene olijven zonder pit', 'kappertjes', 'knoflook', 'mayonaise', 'peterselie']","chilipeper, groene olijven zonder pit, kappertjes, knoflook, mayonaise, peterselie",4.0,,magazine,2014.07,,,,2014.07,,,,"glutenvrij, lactosevrij, vegetarisch",italiaans,,
